candidate_id,rank,score,reasoning
CAND_0052682,33,0.59687,"7 yrs exp (within JD range 5–9) as NLP Engineer; matches 4/14 core JD skills (faiss, pinecone, embeddings...). Gap: partial skill overlap with JD. In vizag, andhra pradesh, not willing to relocate, notice ≤30d, actively open to work."
CAND_0063431,34,0.594874,"12 yrs exp (above JD max of 9) as Business Analyst; matches 5/14 core JD skills (faiss, pinecone, embeddings...). Gap: partial skill overlap with JD. Based in pune, maharashtra (preferred jd location), notice ≤30d, actively open to work."
CAND_0068552,35,0.592589,"10 yrs exp (above JD max of 9) as Project Manager; matches 5/14 core JD skills (faiss, pinecone, embeddings...). Gap: partial skill overlap with JD. Based in pune, maharashtra (preferred jd location), notice ≤30d, response rate 21%."
CAND_0077337,36,0.591411,"7 yrs exp (within JD range 5–9) as Staff Machine Learning Engineer; matches 6/14 core JD skills (ndcg, pinecone, opensearch...). Gap: partial skill overlap with JD. In kochi, kerala, not willing to relocate, notice 60d, actively open to work."
CAND_0036598,37,0.591118,"7 yrs exp (within JD range 5–9) as Civil Engineer; matches 5/14 core JD skills (faiss, pinecone, embeddings...). Gap: partial skill overlap with JD. In mumbai, maharashtra, willing to relocate, notice ≤30d, response rate 61%."
CAND_0021630,38,0.589883,"6 yrs exp (within JD range 5–9) as Sales Executive; matches 5/14 core JD skills (faiss, pinecone, embeddings...). Gap: partial skill overlap with JD. Based in noida, uttar pradesh (preferred jd location), notice ≤30d, response rate 11%."
CAND_0071974,39,0.589706,"8 yrs exp (within JD range 5–9) as Senior AI Engineer; matches 6/14 core JD skills (pinecone, embeddings, qdrant...). Gap: partial skill overlap with JD. In vizag, andhra pradesh, not willing to relocate, notice 45d, actively open to work."
CAND_0080766,40,0.588424,"9 yrs exp (within JD range 5–9) as Staff Machine Learning Engineer; matches 5/14 core JD skills (ndcg, opensearch, milvus...). Gap: partial skill overlap with JD. In coimbatore, tamil nadu, not willing to relocate, notice ≤30d, response rate 66%."
CAND_0018652,41,0.588336,"7 yrs exp (within JD range 5–9) as Project Manager; matches 4/14 core JD skills (faiss, pinecone, vector database...). Gap: partial skill overlap with JD. Based in pune, maharashtra (preferred jd location), notice ≤30d, response rate 72%."
CAND_0055649,42,0.588103,"10 yrs exp (above JD max of 9) as Marketing Manager; matches 5/14 core JD skills (faiss, pinecone, embeddings...). Gap: partial skill overlap with JD. Based in pune, maharashtra (preferred jd location), notice ≤30d, response rate 19%."
CAND_0002336,43,0.588043,"9 yrs exp (within JD range 5–9) as Accountant; matches 4/14 core JD skills (pinecone, embeddings, vector database...). Gap: partial skill overlap with JD. Based in noida, uttar pradesh (preferred jd location), notice ≤30d, actively open to work."
CAND_0068264,44,0.5878,"9 yrs exp (within JD range 5–9) as HR Manager; matches 5/14 core JD skills (faiss, pinecone, embeddings...). Gap: partial skill overlap with JD. Based in pune, maharashtra (preferred jd location), notice ≤30d, inactive 193 days."
CAND_0047280,45,0.585387,"5 yrs exp (within JD range 5–9) as Mechanical Engineer; matches 5/14 core JD skills (faiss, pinecone, embeddings...). Gap: partial skill overlap with JD. In delhi, delhi, willing to relocate, notice ≤30d, actively open to work."
CAND_0041610,46,0.584596,"7 yrs exp (within JD range 5–9) as Recommendation Systems Engineer; matches 5/14 core JD skills (pinecone, opensearch, embeddings...). Gap: partial skill overlap with JD. In indore, madhya pradesh, not willing to relocate, notice ≤30d, actively open to work."
CAND_0062751,47,0.583923,"10 yrs exp (above JD max of 9) as Mechanical Engineer; matches 5/14 core JD skills (faiss, pinecone, embeddings...). Gap: partial skill overlap with JD. In delhi, delhi, willing to relocate, notice ≤30d, actively open to work."
CAND_0037944,48,0.583751,"5 yrs exp (below JD min of 5) as Senior Data Scientist; matches 4/14 core JD skills (pinecone, opensearch, embeddings...). Gap: partial skill overlap with JD. In jaipur, rajasthan, not willing to relocate, notice ≤30d, actively open to work."
CAND_0074612,49,0.582439,"9 yrs exp (above JD max of 9) as Project Manager; matches 4/14 core JD skills (faiss, pinecone, vector database...). Gap: partial skill overlap with JD. Based in pune, maharashtra (preferred jd location), notice ≤30d, response rate 18%."
CAND_0079026,50,0.58135,"8 yrs exp (within JD range 5–9) as Sales Executive; matches 5/14 core JD skills (faiss, pinecone, embeddings...). Gap: partial skill overlap with JD. Based in noida, uttar pradesh (preferred jd location), notice ≤30d, active recently (20d ago)."
CAND_0083879,51,0.581045,"7 yrs exp (within JD range 5–9) as Machine Learning Engineer; matches 3/14 core JD skills (faiss, milvus, ranking). Gap: partial skill overlap with JD. Based in noida, uttar pradesh (preferred jd location), notice ≤30d, actively open to work."
CAND_0062247,52,0.580963,"7 yrs exp (within JD range 5–9) as AI Engineer; matches 5/14 core JD skills (faiss, pinecone, qdrant...). Gap: partial skill overlap with JD. In kochi, kerala, not willing to relocate, notice ≤30d, actively open to work."
CAND_0027237,53,0.579343,"8 yrs exp (within JD range 5–9) as Sales Executive; matches 4/14 core JD skills (faiss, pinecone, vector database...). Gap: partial skill overlap with JD. Based in pune, maharashtra (preferred jd location), notice ≤30d, active recently (15d ago)."
CAND_0023359,54,0.578529,"8 yrs exp (within JD range 5–9) as Operations Manager; matches 5/14 core JD skills (faiss, pinecone, embeddings...). Gap: partial skill overlap with JD. In mumbai, maharashtra, willing to relocate, notice ≤30d, response rate 17%."
CAND_0013440,55,0.577803,"7 yrs exp (within JD range 5–9) as Senior Data Engineer; matches 2/14 core JD skills (opensearch, embeddings). Gap: partial skill overlap with JD. Based in noida, uttar pradesh (preferred jd location), notice ≤30d, actively open to work."
CAND_0067866,56,0.57754,"6 yrs exp (within JD range 5–9) as Senior Software Engineer (ML); matches 4/14 core JD skills (embeddings, qdrant, ranking...). Gap: partial skill overlap with JD. Based in noida, uttar pradesh (preferred jd location), notice 45d, actively open to work."
CAND_0072943,57,0.577021,"6 yrs exp (within JD range 5–9) as Content Writer; matches 4/14 core JD skills (faiss, embeddings, vector database...). Gap: partial skill overlap with JD. Based in pune, maharashtra (preferred jd location), notice ≤30d, response rate 11%."
CAND_0042029,58,0.576899,"6 yrs exp (within JD range 5–9) as Senior Data Scientist; matches 7/14 core JD skills (faiss, pinecone, opensearch...). Gap: partial skill overlap with JD. In delhi, delhi, willing to relocate, notice 45d, response rate 67%."
CAND_0056182,59,0.576802,"9 yrs exp (within JD range 5–9) as Mechanical Engineer; matches 4/14 core JD skills (faiss, pinecone, vector database...). Gap: partial skill overlap with JD. Based in noida, uttar pradesh (preferred jd location), notice ≤30d, actively open to work."
CAND_0079284,60,0.576391,"5 yrs exp (below JD min of 5) as Machine Learning Engineer; matches 4/14 core JD skills (embeddings, qdrant, ranking...). Gap: partial skill overlap with JD. In hyderabad, telangana, not willing to relocate, notice ≤30d, response rate 79%."
CAND_0015967,61,0.573362,"5 yrs exp (within JD range 5–9) as Senior Software Engineer (ML); matches 3/14 core JD skills (pinecone, embeddings, ranking). Ranked lower due to limited direct JD skill match; in Hyderabad, Telangana, willing to relocate, notice ≤30d."
CAND_0091436,62,0.5716,"4 yrs exp (below JD min of 5) as Customer Support; matches 5/14 core JD skills (faiss, pinecone, embeddings...). Ranked lower due to limited direct JD skill match; based in Noida, Uttar Pradesh (preferred JD location), notice ≤30d."
CAND_0087364,63,0.57093,"5 yrs exp (below JD min of 5) as Recommendation Systems Engineer; matches 6/14 core JD skills (pinecone, opensearch, milvus...). Ranked lower due to limited direct JD skill match; in Gurgaon, Haryana, not willing to relocate, notice ≤30d."
CAND_0051004,64,0.57021,"5 yrs exp (below JD min of 5) as Senior Data Scientist; matches 3/14 core JD skills (pinecone, embeddings, qdrant). Ranked lower due to limited direct JD skill match; in Delhi, Delhi, willing to relocate, notice ≤30d."
CAND_0076952,65,0.569763,"6 yrs exp (within JD range 5–9) as Business Analyst; matches 4/14 core JD skills (faiss, pinecone, vector database...). Ranked lower due to limited direct JD skill match; based in Noida, Uttar Pradesh (preferred JD location), notice ≤30d."
CAND_0019288,66,0.568683,"6 yrs exp (within JD range 5–9) as AI Research Engineer; matches 2/14 core JD skills (faiss, opensearch). Ranked lower due to limited direct JD skill match; based in Noida, Uttar Pradesh (preferred JD location), notice ≤30d."
CAND_0079764,67,0.568562,"9 yrs exp (within JD range 5–9) as Customer Support; matches 4/14 core JD skills (faiss, embeddings, vector database...). Ranked lower due to limited direct JD skill match; in Delhi, Delhi, willing to relocate, notice ≤30d."
CAND_0059110,68,0.567853,"10 yrs exp (above JD max of 9) as HR Manager; matches 4/14 core JD skills (faiss, pinecone, vector database...). Ranked lower due to limited direct JD skill match; based in Noida, Uttar Pradesh (preferred JD location), notice ≤30d."
CAND_0051292,69,0.567308,"5 yrs exp (within JD range 5–9) as Applied ML Engineer; matches 5/14 core JD skills (faiss, pinecone, embeddings...). Ranked lower due to limited direct JD skill match; in Trivandrum, Kerala, not willing to relocate, notice ≤30d."
CAND_0049336,70,0.566604,"9 yrs exp (within JD range 5–9) as Sales Executive; matches 4/14 core JD skills (pinecone, embeddings, vector database...). Ranked lower due to limited direct JD skill match; based in Noida, Uttar Pradesh (preferred JD location), notice ≤30d."
CAND_0044855,71,0.565582,"7 yrs exp (within JD range 5–9) as Senior Data Scientist; matches 7/14 core JD skills (faiss, pinecone, opensearch...). Ranked lower due to limited direct JD skill match; in Coimbatore, Tamil Nadu, not willing to relocate, notice 60d."
CAND_0007955,72,0.564656,"9 yrs exp (within JD range 5–9) as Civil Engineer; matches 4/14 core JD skills (pinecone, embeddings, vector database...). Ranked lower due to limited direct JD skill match; based in Noida, Uttar Pradesh (preferred JD location), notice ≤30d."
CAND_0037566,73,0.563264,"7 yrs exp (within JD range 5–9) as Machine Learning Engineer; matches 4/14 core JD skills (pinecone, embeddings, ranking...). Ranked lower due to limited direct JD skill match; in Bangalore, Karnataka, not willing to relocate, notice ≤30d."
CAND_0065890,74,0.562536,"4 yrs exp (below JD min of 5) as Business Analyst; matches 4/14 core JD skills (faiss, pinecone, vector database...). Ranked lower due to limited direct JD skill match; based in Noida, Uttar Pradesh (preferred JD location), notice ≤30d."
CAND_0054194,75,0.561788,"8 yrs exp (within JD range 5–9) as Sales Executive; matches 5/14 core JD skills (faiss, pinecone, embeddings...). Ranked lower due to limited direct JD skill match; in Gurgaon, Haryana, not willing to relocate, notice ≤30d."
CAND_0043416,76,0.557999,"8 yrs exp (within JD range 5–9) as Business Analyst; matches 5/14 core JD skills (faiss, pinecone, embeddings...). Ranked lower due to limited direct JD skill match; in Chandigarh, Chandigarh, not willing to relocate, notice ≤30d."
CAND_0075574,77,0.557655,"6 yrs exp (within JD range 5–9) as Machine Learning Engineer; matches 7/14 core JD skills (pinecone, opensearch, embeddings...). Ranked lower due to limited direct JD skill match; in Bangalore, Karnataka, not willing to relocate, notice 60d."
CAND_0011162,78,0.557131,"6 yrs exp (within JD range 5–9) as Recommendation Systems Engineer; matches 7/14 core JD skills (faiss, pinecone, opensearch...). Ranked lower due to limited direct JD skill match; in Coimbatore, Tamil Nadu, not willing to relocate, notice 90d."
CAND_0093912,79,0.557008,"5 yrs exp (within JD range 5–9) as Senior Data Scientist; matches 5/14 core JD skills (faiss, embeddings, milvus...). Ranked lower due to limited direct JD skill match; in Chandigarh, Chandigarh, not willing to relocate, notice ≤30d."
CAND_0014084,80,0.556907,"9 yrs exp (above JD max of 9) as Business Analyst; matches 3/14 core JD skills (embeddings, vector database, vector databases). Ranked lower due to limited direct JD skill match; based in Noida, Uttar Pradesh (preferred JD location), notice ≤30d."
CAND_0008239,81,0.555343,"4 yrs exp (below JD min of 5) as AI Engineer; matches 5/14 core JD skills (faiss, milvus, ranking...). Ranked lower due to limited direct JD skill match; in Jaipur, Rajasthan, not willing to relocate, notice ≤30d."
CAND_0090155,82,0.555306,"6 yrs exp (within JD range 5–9) as ML Engineer; matches 4/14 core JD skills (pinecone, milvus, qdrant...). Ranked lower due to limited direct JD skill match; based in Pune, Maharashtra (preferred JD location), notice 90d."
CAND_0024526,83,0.554355,"5 yrs exp (within JD range 5–9) as Sales Executive; matches 4/14 core JD skills (faiss, embeddings, vector database...). Ranked lower due to limited direct JD skill match; in Mumbai, Maharashtra, willing to relocate, notice ≤30d."
CAND_0018549,84,0.553114,"7 yrs exp (within JD range 5–9) as Recommendation Systems Engineer; matches 7/14 core JD skills (opensearch, embeddings, milvus...). Ranked lower due to limited direct JD skill match; in Coimbatore, Tamil Nadu, not willing to relocate, notice 60d."
CAND_0081203,85,0.55306,"8 yrs exp (within JD range 5–9) as Operations Manager; matches 5/14 core JD skills (faiss, pinecone, embeddings...). Ranked lower due to limited direct JD skill match; in Vizag, Andhra Pradesh, not willing to relocate, notice ≤30d."
CAND_0045250,86,0.552559,"7 yrs exp (within JD range 5–9) as Applied ML Engineer; matches 4/14 core JD skills (embeddings, milvus, qdrant...). Ranked lower due to limited direct JD skill match; in Delhi, Delhi, not willing to relocate, notice ≤30d."
CAND_0059839,87,0.552387,"10 yrs exp (above JD max of 9) as Civil Engineer; matches 5/14 core JD skills (faiss, pinecone, embeddings...). Ranked lower due to limited direct JD skill match; in Delhi, Delhi, not willing to relocate, notice ≤30d."
CAND_0019880,88,0.552303,"6 yrs exp (within JD range 5–9) as AI Specialist; matches 1/14 core JD skills (embeddings). Ranked lower due to limited direct JD skill match; based in Pune, Maharashtra (preferred JD location), notice ≤30d."
CAND_0038035,89,0.551345,"12 yrs exp (above JD max of 9) as Accountant; matches 4/14 core JD skills (pinecone, embeddings, vector database...). Ranked lower due to limited direct JD skill match; based in Noida, Uttar Pradesh (preferred JD location), notice ≤30d."
CAND_0007411,90,0.551008,"8 yrs exp (within JD range 5–9) as Senior Machine Learning Engineer; matches 5/14 core JD skills (ndcg, pinecone, opensearch...). Ranked lower due to limited direct JD skill match; in Kochi, Kerala, not willing to relocate, notice ≤30d."
CAND_0048669,91,0.550946,"9 yrs exp (within JD range 5–9) as Marketing Manager; matches 4/14 core JD skills (faiss, pinecone, vector database...). Ranked lower due to limited direct JD skill match; based in Noida, Uttar Pradesh (preferred JD location), notice ≤30d."
CAND_0009024,92,0.550391,"5 yrs exp (within JD range 5–9) as Search Engineer; matches 5/14 core JD skills (faiss, opensearch, embeddings...). Ranked lower due to limited direct JD skill match; in Chennai, Tamil Nadu, not willing to relocate, notice ≤30d."
CAND_0094370,93,0.549311,"8 yrs exp (within JD range 5–9) as Business Analyst; matches 5/14 core JD skills (faiss, pinecone, embeddings...). Ranked lower due to limited direct JD skill match; in Jaipur, Rajasthan, not willing to relocate, notice ≤30d."
CAND_0049538,94,0.549186,"6 yrs exp (within JD range 5–9) as Applied ML Engineer; matches 5/14 core JD skills (opensearch, embeddings, milvus...). Ranked lower due to limited direct JD skill match; in Jaipur, Rajasthan, not willing to relocate, notice ≤30d."
CAND_0038247,95,0.549153,"9 yrs exp (within JD range 5–9) as Content Writer; matches 5/14 core JD skills (faiss, pinecone, embeddings...). Ranked lower due to limited direct JD skill match; in Hyderabad, Telangana, not willing to relocate, notice ≤30d."
CAND_0060054,96,0.549099,"6 yrs exp (within JD range 5–9) as AI Engineer; matches 5/14 core JD skills (faiss, embeddings, ranking...). Ranked lower due to limited direct JD skill match; in Jaipur, Rajasthan, not willing to relocate, notice ≤30d."
CAND_0032024,97,0.548196,"8 yrs exp (within JD range 5–9) as Project Manager; matches 5/14 core JD skills (faiss, pinecone, embeddings...). Ranked lower due to limited direct JD skill match; in Indore, Madhya Pradesh, not willing to relocate, notice ≤30d."
CAND_0096466,98,0.546819,"7 yrs exp (within JD range 5–9) as HR Manager; matches 3/14 core JD skills (pinecone, vector database, vector databases). Ranked lower due to limited direct JD skill match; based in Noida, Uttar Pradesh (preferred JD location), notice ≤30d."
CAND_0091890,99,0.54548,"5 yrs exp (below JD min of 5) as AI Research Engineer; matches 6/14 core JD skills (pinecone, opensearch, milvus...). Ranked lower due to limited direct JD skill match; in Hyderabad, Telangana, willing to relocate, notice 60d."
CAND_0038368,100,0.545447,"5 yrs exp (within JD range 5–9) as ML Engineer; matches 3/14 core JD skills (faiss, embeddings, ranking). Ranked lower due to limited direct JD skill match; in Hyderabad, Telangana, not willing to relocate, notice ≤30d."
